場站代號,場站中文名稱,場站所屬行政區,中文地址,場站總停車格數,目前可借車輛數,目前可還空位數,資料更新時間,緯度,經度,場站營運狀態,"各車種可借數量明細(一般車,電輔車)",抓取時間
500601001,YouBike2.0_綠川東中山路口,中區,綠川東街/中山路口(東側),16,4,12,2026-08-21 15:03:03,24.13785,120.68337,1,"4,0",2026-08-21 15:12:29.741980
500601002,YouBike2.0_繼光光復路口,中區,繼光街166號(對側人行道),18,3,15,2026-08-21 15:02:02,24.1411,120.68474,1,"2,1",2026-08-21 15:12:29.741980
500601003,YouBike2.0_柳原教會,中區,興中街/福音街口(西南側),13,2,11,2026-08-21 15:11:03,24.145923,120.681301,1,"2,0",2026-08-21 15:12:29.741980
500601004,YouBike2.0_臺中車站(建國路),中區,建國路/中山路口(北側),79,60,18,2026-08-21 15:10:05,24.13746,120.68435,1,"47,13",2026-08-21 15:12:29.741980
500601005,YouBike2.0_柳川東中華路口,中區,柳川東路四段/中華路二段口(西北側),30,0,30,2026-08-21 14:58:16,24.14692,120.6783,1,"0,0",2026-08-21 15:12:29.741980
500601006,YouBike2.0_柳川西民權路口,中區,柳川西路三段2號(對側人行道),16,10,6,2026-08-21 15:02:02,24.14169,120.67568,1,"10,0",2026-08-21 15:12:29.741980
500601007,YouBike2.0_自由臺灣大道口,中區,自由路二段34號旁,24,19,5,2026-08-21 14:50:04,24.13988,120.68206,1,"18,1",2026-08-21 15:12:29.741980
500601008,YouBike2.0_興中立體停車場,中區,臺灣大道一段/興中街口(北側),50,16,34,2026-08-21 15:05:03,24.14343,120.6786,1,"16,0",2026-08-21 15:12:29.741980
500601009,YouBike2.0_繼光街中山路口,中區,繼光街/中山路口,20,4,11,2026-08-21 15:02:03,24.13856,120.68213,1,"4,0",2026-08-21 15:12:29.741980
500602001,YouBike2.0_大智機車停車場,東區,復興路四段212號(對側),22,7,14,2026-08-21 15:10:05,24.13657,120.68789,1,"7,0",2026-08-21 15:12:29.741980
500602002,YouBike2.0_秀泰生活S1館,東區,南京路/復興路四段(東北側),16,7,9,2026-08-21 15:06:02,24.14012,120.68933,1,"7,0",2026-08-21 15:12:29.741980
500602003,YouBike2.0_雙十南京路口(東北側),東區,雙十路一段/南京路口(東北側),13,1,12,2026-08-21 14:54:02,24.1402694,120.6860178,1,"0,1",2026-08-21 15:12:29.741980
500602004,YouBike2.0_帝國製糖廠,東區,進德路/樂業路口(西南側),20,5,15,2026-08-21 14:47:04,24.1386429,120.6924869,1,"5,0",2026-08-21 15:12:29.741980
500602005,YouBike2.0_中興大學附屬高農(中農附旅),東區,台中路287號前,15,3,12,2026-08-21 15:01:03,24.12688,120.6844,1,"3,0",2026-08-21 15:12:29.741980
500602006,YouBike2.0_精武車站,東區,東光路161號旁,56,30,21,2026-08-21 15:11:03,24.14956,120.69786,1,"30,0",2026-08-21 15:12:29.741980
500602007,YouBike2.0_臺中家商(大公街),東區,大公街47號(對側人行道),35,3,32,2026-08-21 14:51:03,24.13365,120.68569,1,"3,0",2026-08-21 15:12:29.741980
500602008,YouBike2.0_自由南京路口,東區,自由路/南京路口(南側),15,5,10,2026-08-21 14:43:02,24.14267,120.69625,1,"5,0",2026-08-21 15:12:29.741980
500602009,YouBike2.0_臺中國小(信義街),東區,信義街45號(對側人行道),50,6,44,2026-08-21 14:58:02,24.13212,120.68481,1,"6,0",2026-08-21 15:12:29.741980
500602010,YouBike2.0_忠孝公園,東區,忠孝路/大勇街(東北側),17,3,14,2026-08-21 14:50:04,24.13254,120.6888,1,"3,0",2026-08-21 15:12:29.741980
500602011,YouBike2.0_東門兒童公園,東區,東光園路/東光園路131巷口(西北側),20,0,20,2026-08-21 14:31:17,24.12784,120.69443,1,"0,0",2026-08-21 15:12:29.741980
500602012,YouBike2.0_六順多功能活動中心,東區,六順路26號(北側),20,6,13,2026-08-21 15:09:04,24.12514,120.69947,1,"6,0",2026-08-21 15:12:29.741980
500602013,YouBike2.0_樂成公園,東區,東英五街/東信街口(北側),17,2,15,2026-08-21 14:38:04,24.13637,120.70297,1,"2,0",2026-08-21 15:12:29.741980
500602014,YouBike2.0_東峰公園,東區,七中路/興大路口(東側),20,6,14,2026-08-21 15:01:03,24.12415,120.68503,1,"6,0",2026-08-21 15:12:29.741980
500602015,YouBike2.0_臺中車站(大智北路),東區,大智北路/新民街(西南側),36,3,22,2026-08-21 15:11:03,24.13777,120.68765,1,"3,0",2026-08-21 15:12:29.741980
500602016,YouBike2.0_臺中車站(復興路東側出口),東區,復興路四段149巷/復興路四段口(北側),98,12,86,2026-08-21 15:09:04,24.136,120.68631,1,"11,1",2026-08-21 15:12:29.741980
500602017,YouBike2.0_力行國小(進化路221巷),東區,進化路/進化路221巷口(西北側),20,2,18,2026-08-21 15:01:03,24.14999,120.69419,1,"2,0",2026-08-21 15:12:29.741980
500602018,YouBike2.0_進化精武路口(西南側),東區,進化路/精武路口(西南側),17,2,15,2026-08-21 14:14:03,24.14765,120.69417,1,"1,1",2026-08-21 15:12:29.741980
500602019,YouBike2.0_自由自由三街口,東區,自由路三段/自由三街口(東北側),18,6,12,2026-08-21 15:05:03,24.14269,120.69109,1,"6,0",2026-08-21 15:12:29.741980
500602020,YouBike2.0_進德國小(進化路),東區,進化路/福仁街口(西北側),19,0,19,2026-08-21 15:02:20,24.14428,120.69418,1,"0,0",2026-08-21 15:12:29.741980
500602021,YouBike2.0_東英停車場(一心街),東區,一心街/東英九街(西北側),47,3,43,2026-08-21 15:01:03,24.14227,120.70204,1,"3,0",2026-08-21 15:12:29.741980
500602022,YouBike2.0_十甲里等三里多功能活動中心,東區,東英七街41號,19,0,19,2026-08-21 13:29:16,24.14113,120.70408,1,"0,0",2026-08-21 15:12:29.741980
500602023,YouBike2.0_仁和大智路口(西南側),東區,仁和路/大智路口(西南側),11,7,4,2026-08-21 15:00:05,24.12628,120.68984,1,"7,0",2026-08-21 15:12:29.741980
500602024,YouBike2.0_東峰國中(仁和路),東區,仁和路330號(東側人行道),20,13,7,2026-08-21 13:00:03,24.1263,120.68724,1,"13,0",2026-08-21 15:12:29.741980
500602025,YouBike2.0_東光園大智路口(東北側),東區,東光園路22號(對面側人行道),33,0,0,2026-08-06 22:05:17,24.12473,120.69065,0,"0,0",2026-08-21 15:12:29.741980
500602026,YouBike2.0_新建國市場(1號門)(樂業二路),東區,樂業二路/樂業南路口(西北側),37,6,31,2026-08-21 14:54:02,24.13497,120.69486,1,"6,0",2026-08-21 15:12:29.741980
500602027,YouBike2.0_樂業國小(樂業南路),東區,樂業路60號(西側人行道),20,0,20,2026-08-21 14:22:21,24.13803,120.695,1,"0,0",2026-08-21 15:12:29.741980
500602028,YouBike2.0_福聯新城,東區,精武路217巷/富榮街口(西側),20,0,20,2026-08-21 14:45:17,24.14554,120.69098,1,"0,0",2026-08-21 15:12:29.741980
500602029,YouBike2.0_東英公園(樂業路),東區,樂業路/喬城三街口(東北側),15,7,8,2026-08-21 12:58:03,24.13586,120.70844,1,"7,0",2026-08-21 15:12:29.741980
500602030,YouBike2.0_旱溪停車場(旱溪街),東區,旱溪街/德興一街口(東北側),31,5,26,2026-08-21 12:10:04,24.14083,120.70949,1,"5,0",2026-08-21 15:12:29.741980
500602031,YouBike2.0_三賢停車場,東區,十甲路/東英十一街口(東南側),13,4,9,2026-08-21 14:33:05,24.14413,120.7112,1,"4,0",2026-08-21 15:12:29.741980
500602032,YouBike2.0_進業公園(東英十五街),東區,東英十五街/十甲東路口(西北側),50,3,47,2026-08-21 14:10:02,24.14624,120.70924,1,"3,0",2026-08-21 15:12:29.741980
500602033,YouBike2.0_家庭教育中心(東英十七街),東區,東英十七街/三賢街口(西南側),23,4,19,2026-08-21 14:55:03,24.14793,120.7075,1,"4,0",2026-08-21 15:12:29.741980
500602034,YouBike2.0_南京東十甲路口,東區,南京東路/十甲路口(東北側),15,0,15,2026-08-21 15:06:17,24.14481,120.69702,1,"0,0",2026-08-21 15:12:29.741980
500602035,YouBike2.0_力行國小,東區,力行路/進化路口(西南側),33,8,25,2026-08-21 15:08:02,24.15157,120.69372,1,"8,0",2026-08-21 15:12:29.741980
500602036,YouBike2.0_進德國小,東區,進化路158號(對側人行道),32,1,31,2026-08-21 15:11:18,24.14607,120.69429,1,"1,0",2026-08-21 15:12:29.741980
500602037,YouBike2.0_大智國小(建德街),東區,建德街181號(對側人行道),15,8,7,2026-08-21 15:09:04,24.12959,120.69144,1,"8,0",2026-08-21 15:12:29.741980
500602038,YouBike2.0_東福公園(東英一街),東區,東英一街62號(對側人行道),35,1,34,2026-08-21 15:01:03,24.13411,120.70382,1,"1,0",2026-08-21 15:12:29.741980
500602039,YouBike2.0_旱溪東東英三街口,東區,旱溪東路一段306號前,20,5,15,2026-08-21 14:44:03,24.13556,120.70097,1,"5,0",2026-08-21 15:12:29.741980
500602041,YouBike2.0_大智國小,東區,建德街/大智路口(東南側),26,11,15,2026-08-21 15:00:05,24.12956,120.69059,1,"11,0",2026-08-21 15:12:29.741980
500602042,YouBike2.0_東峰公園(仁和路),東區,仁和路/立德東街口(西側),26,4,22,2026-08-21 15:00:05,24.12627,120.68827,1,"4,0",2026-08-21 15:12:29.741980
500602043,YouBike2.0_中興大學附屬高農,東區,台中路283號前,46,0,46,2026-08-21 15:02:20,24.12861,120.68491,1,"0,0",2026-08-21 15:12:29.741980
500602044,YouBike2.0_長福公園,東區,長福路/旱溪東路一段口(東北側),22,3,19,2026-08-21 14:18:03,24.14402,120.70205,1,"3,0",2026-08-21 15:12:29.741980
500602045,YouBike2.0_東光園振興路口,東區,東光園路/振興路口(西北側),36,3,32,2026-08-21 14:32:04,24.13333,120.69708,1,"3,0",2026-08-21 15:12:29.741980
500602046,YouBike2.0_秀泰廣場,東區,南京路/自由三街口(東北側),30,22,8,2026-08-21 15:04:03,24.1401,120.6913,1,"22,0",2026-08-21 15:12:29.741980
500602047,YouBike2.0_樂利公園,東區,十甲東路/東英六街口(東南側),32,5,27,2026-08-21 13:31:05,24.13885,120.70752,1,"4,1",2026-08-21 15:12:29.741980
500602048,YouBike2.0_樂成宮,東區,旱溪一街/東光路口(東北側),27,4,22,2026-08-21 15:10:05,24.14097,120.6969,1,"4,0",2026-08-21 15:12:29.741980
500602049,YouBike2.0_新建國市場(5號門),東區,進德路/建成路口(東北側),30,6,24,2026-08-21 14:13:02,24.13401,120.69385,1,"6,0",2026-08-21 15:12:29.741980
500602050,YouBike2.0_建成樂業路口,東區,建成路356號(對側人行道),20,6,14,2026-08-21 14:48:03,24.13858,120.69669,1,"6,0",2026-08-21 15:12:29.741980
500602051,YouBike2.0_綠空廊道(南京泉源街口西南側),東區,南京路/泉源街口(西南側),13,5,8,2026-08-21 14:48:03,24.14081,120.69434,1,"5,0",2026-08-21 15:12:29.741980
500602052,YouBike2.0_綠空廊道(南京泉源街口東南側),東區,南京路/泉源街口(東南側),19,8,11,2026-08-21 15:09:04,24.140901,120.694408,1,"8,0",2026-08-21 15:12:29.741980
500602053,YouBike2.0_綠空廊道(精武東光路口),東區,精武路/東光路口(西南側),10,8,2,2026-08-21 14:51:03,24.147882,120.697793,1,"8,0",2026-08-21 15:12:29.741980
500602054,YouBike2.0_建德東光園路口,東區,建德街/東光園路口(南側),15,1,14,2026-08-21 14:43:16,24.12953,120.69679,1,"1,0",2026-08-21 15:12:29.741980
500602055,YouBike2.0_樂業寵物公園,東區,樂業一路/進德路口(東南側),20,9,10,2026-08-21 15:02:02,24.1368,120.693,1,"9,0",2026-08-21 15:12:29.741980
500602056,YouBike2.0_帝國製糖廠(復興東路),東區,復興東路/復興路四段口(東南側),20,5,15,2026-08-21 14:25:04,24.13835,120.69013,1,"5,0",2026-08-21 15:12:29.741980
500602057,YouBike2.0_育英公園,東區,旱溪西路一段/旱溪西路一段365巷(西南側),15,3,12,2026-08-21 14:42:02,24.13802,120.69995,1,"3,0",2026-08-21 15:12:29.741980
500602058,YouBike2.0_臺中轉運站,東區,大智北路/八德街口(西北側),40,10,30,2026-08-21 14:44:03,24.13887,120.68755,1,"10,0",2026-08-21 15:12:29.741980
